# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van uurwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/klimatologie/onderzoeksgegevens/homogeen_260/index.html> of de Centraal Nederland Temperatuur <http://www.knmi.nl/klimatologie/onderzoeksgegevens/CNT/>.
# 
# 
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 257:         4.603       52.506       8.50  WIJK AAN ZEE
# 
# YYYYMMDD = datum (YYYY=jaar,MM=maand,DD=dag); 
# HH       = tijd (HH=uur, UT.12 UT=13 MET, 14 MEZT. Uurvak 05 loopt van 04.00 UT tot 5.00 UT; 
# T        = Temperatuur (in 0.1 graden Celsius) op 1.50 m hoogte tijdens de waarneming; 
# U        = Relatieve vochtigheid (in procenten) op 1.50 m hoogte tijdens de waarneming; 
# 
# STN,YYYYMMDD,   HH,    T,    U
# 
  257,20190901,    1,  169,   75
  257,20190901,    2,  171,   69
  257,20190901,    3,  171,   68
  257,20190901,    4,  168,   67
  257,20190901,    5,  166,   64
  257,20190901,    6,  165,   66
  257,20190901,    7,  169,   63
  257,20190901,    8,  172,   63
  257,20190901,    9,  176,   59
  257,20190901,   10,  184,   56
  257,20190901,   11,  178,   56
  257,20190901,   12,  186,   57
  257,20190901,   13,  186,   56
  257,20190901,   14,  190,   53
  257,20190901,   15,  180,   54
  257,20190901,   16,  174,   55
  257,20190901,   17,  171,   56
  257,20190901,   18,  157,   59
  257,20190901,   19,  129,   79
  257,20190901,   20,  129,   87
  257,20190901,   21,  149,   72
  257,20190901,   22,  153,   61
  257,20190901,   23,  156,   59
  257,20190901,   24,  152,   67
  257,20190902,    1,  160,   65
  257,20190902,    2,  156,   65
  257,20190902,    3,  157,   66
  257,20190902,    4,  153,   64
  257,20190902,    5,  155,   65
  257,20190902,    6,  161,   61
  257,20190902,    7,  166,   59
  257,20190902,    8,  170,   57
  257,20190902,    9,  178,   54
  257,20190902,   10,  183,   55
  257,20190902,   11,  175,   59
  257,20190902,   12,  184,   51
  257,20190902,   13,  185,   50
  257,20190902,   14,  181,   52
  257,20190902,   15,  182,   53
  257,20190902,   16,  182,   56
  257,20190902,   17,  176,   58
  257,20190902,   18,  172,   62
  257,20190902,   19,  174,   62
  257,20190902,   20,  176,   70
  257,20190902,   21,  180,   68
  257,20190902,   22,  183,   72
  257,20190902,   23,  186,   73
  257,20190902,   24,  189,   70
  257,20190903,    1,  188,   63
  257,20190903,    2,  184,   65
  257,20190903,    3,  181,   67
  257,20190903,    4,  179,   70
  257,20190903,    5,  175,   73
  257,20190903,    6,  176,   73
  257,20190903,    7,  174,   73
  257,20190903,    8,  175,   74
  257,20190903,    9,  191,   70
  257,20190903,   10,  184,   70
  257,20190903,   11,  190,   67
  257,20190903,   12,  202,   62
  257,20190903,   13,  193,   63
  257,20190903,   14,  182,   68
  257,20190903,   15,  180,   64
  257,20190903,   16,  191,   60
  257,20190903,   17,  181,   61
  257,20190903,   18,  177,   62
  257,20190903,   19,  174,   61
  257,20190903,   20,  173,   63
  257,20190903,   21,  174,   66
  257,20190903,   22,  171,   70
  257,20190903,   23,  179,   70
  257,20190903,   24,  181,   74
  257,20190904,    1,  166,   80
  257,20190904,    2,  166,   82
  257,20190904,    3,  161,   84
  257,20190904,    4,  162,   87
  257,20190904,    5,  160,   88
  257,20190904,    6,  163,   89
  257,20190904,    7,  167,   83
  257,20190904,    8,  169,   83
  257,20190904,    9,  163,   91
  257,20190904,   10,  163,   92
  257,20190904,   11,  167,   95
  257,20190904,   12,  174,   90
  257,20190904,   13,  175,   87
  257,20190904,   14,  181,   84
  257,20190904,   15,  161,   85
  257,20190904,   16,  167,   73
  257,20190904,   17,  166,   67
  257,20190904,   18,  162,   67
  257,20190904,   19,  160,   70
  257,20190904,   20,  175,   56
  257,20190904,   21,  178,   52
  257,20190904,   22,  178,   55
  257,20190904,   23,  165,   69
  257,20190904,   24,  164,   67
  257,20190905,    1,  163,   71
  257,20190905,    2,  151,   75
  257,20190905,    3,  153,   72
  257,20190905,    4,  145,   77
  257,20190905,    5,  140,   81
  257,20190905,    6,  146,   70
  257,20190905,    7,  149,   75
  257,20190905,    8,  152,   70
  257,20190905,    9,  156,   69
  257,20190905,   10,  137,   76
  257,20190905,   11,  152,   70
  257,20190905,   12,  137,   77
  257,20190905,   13,  147,   71
  257,20190905,   14,  157,   61
  257,20190905,   15,  153,   64
  257,20190905,   16,  149,   62
  257,20190905,   17,  150,   59
  257,20190905,   18,  143,   59
  257,20190905,   19,  138,   59
  257,20190905,   20,  136,   52
  257,20190905,   21,  140,   59
  257,20190905,   22,  143,   60
  257,20190905,   23,  148,   61
  257,20190905,   24,  155,   59
  257,20190906,    1,  159,   59
  257,20190906,    2,  152,   72
  257,20190906,    3,  155,   72
  257,20190906,    4,  154,   69
  257,20190906,    5,  158,   64
  257,20190906,    6,  159,   64
  257,20190906,    7,  163,   64
  257,20190906,    8,  166,   64
  257,20190906,    9,  168,   60
  257,20190906,   10,  170,   59
  257,20190906,   11,  173,   56
  257,20190906,   12,  173,   57
  257,20190906,   13,  169,   63
  257,20190906,   14,  173,   67
  257,20190906,   15,  165,   72
  257,20190906,   16,  167,   74
  257,20190906,   17,  172,   69
  257,20190906,   18,  173,   70
  257,20190906,   19,  158,   82
  257,20190906,   20,  164,   81
  257,20190906,   21,  142,   88
  257,20190906,   22,  147,   84
  257,20190906,   23,  138,   88
  257,20190906,   24,  124,   94
  257,20190907,    1,  127,   95
  257,20190907,    2,  126,   94
  257,20190907,    3,  123,   93
  257,20190907,    4,  153,   71
  257,20190907,    5,  155,   73
  257,20190907,    6,  158,   74
  257,20190907,    7,  161,   73
  257,20190907,    8,  168,   70
  257,20190907,    9,  166,   69
  257,20190907,   10,  166,   67
  257,20190907,   11,  150,   80
  257,20190907,   12,  156,   78
  257,20190907,   13,  172,   69
  257,20190907,   14,  170,   69
  257,20190907,   15,  165,   74
  257,20190907,   16,  158,   74
  257,20190907,   17,  150,   74
  257,20190907,   18,  146,   74
  257,20190907,   19,  147,   69
  257,20190907,   20,  149,   65
  257,20190907,   21,  145,   58
  257,20190907,   22,  131,   66
  257,20190907,   23,  122,   69
  257,20190907,   24,  124,   79
  257,20190908,    1,  119,   82
  257,20190908,    2,  115,   81
  257,20190908,    3,  114,   78
  257,20190908,    4,  115,   75
  257,20190908,    5,  121,   81
  257,20190908,    6,  132,   78
  257,20190908,    7,  142,   69
  257,20190908,    8,  147,   65
  257,20190908,    9,  122,   85
  257,20190908,   10,  153,   72
  257,20190908,   11,  139,   84
  257,20190908,   12,  156,   68
  257,20190908,   13,  170,   59
  257,20190908,   14,  167,   54
  257,20190908,   15,  161,   57
  257,20190908,   16,  155,   67
  257,20190908,   17,  141,   87
  257,20190908,   18,  127,   88
  257,20190908,   19,  130,   90
  257,20190908,   20,  120,   95
  257,20190908,   21,  123,   92
  257,20190908,   22,  118,   93
  257,20190908,   23,  115,   91
  257,20190908,   24,  131,   84
  257,20190909,    1,  103,   94
  257,20190909,    2,  127,   82
  257,20190909,    3,  101,   92
  257,20190909,    4,  110,   95
  257,20190909,    5,  118,   87
  257,20190909,    6,  120,   91
  257,20190909,    7,  128,   91
  257,20190909,    8,  152,   60
  257,20190909,    9,  157,   57
  257,20190909,   10,  155,   57
  257,20190909,   11,  158,   55
  257,20190909,   12,  161,   57
  257,20190909,   13,  165,   51
  257,20190909,   14,  173,   51
  257,20190909,   15,  170,   53
  257,20190909,   16,  163,   57
